metaheuristic,instance,mean_total_time,median_total_time,min_total_time,max_total_time,std_total_time,num_executions,best_final_fitness,mean_final_fitness,std_final_fitness,avg_population,avg_max_iterations
AOA,scp41,16.67,16.688,15.772,17.071,0.231,50,440.0,448.14,3.264,10.0,20.0
AOA,scp410,15.853,15.866,15.454,16.112,0.141,50,531.0,540.54,3.53,10.0,20.0
AOA,scp42,16.393,16.397,16.042,16.693,0.141,50,551.0,562.14,4.751,10.0,20.0
AOA,scp43,16.26,16.288,13.842,16.716,0.409,50,539.0,560.44,8.825,10.0,20.0
AOA,scp44,16.111,16.126,15.431,16.452,0.176,50,518.0,531.04,4.01,10.0,20.0
AOA,scp45,13.924,13.913,13.742,14.113,0.082,50,541.0,556.74,5.645,10.0,20.0
AOA,scp46,13.918,13.654,13.239,15.84,0.651,50,584.0,592.24,4.274,10.0,20.0
AOA,scp47,12.818,12.931,11.935,14.003,0.582,50,446.0,462.46,5.459,10.0,20.0
AOA,scp48,12.366,12.337,12.189,12.747,0.126,50,515.0,523.78,4.987,10.0,20.0
AOA,scp49,15.451,15.653,14.052,17.556,0.843,50,700.0,712.26,5.886,10.0,20.0
AOA,scp51,25.198,25.202,24.835,25.483,0.165,50,274.0,280.12,2.291,10.0,20.0
AOA,scp510,25.203,25.215,24.894,25.471,0.135,50,279.0,285.06,1.845,10.0,20.0
AOA,scp52,24.904,24.891,24.579,25.336,0.165,50,330.0,338.3,3.581,10.0,20.0
AOA,scp53,25.622,25.618,24.294,28.001,0.9,50,235.0,239.34,1.661,10.0,20.0
AOA,scp54,28.779,28.471,26.735,31.66,1.3,50,254.0,258.22,2.179,10.0,20.0
AOA,scp55,26.999,26.644,24.168,30.229,1.647,50,222.0,226.32,1.994,10.0,20.0
AOA,scp56,26.873,26.876,25.023,29.108,0.824,50,229.0,236.36,2.371,10.0,20.0
AOA,scp57,23.277,23.264,23.012,23.635,0.125,50,311.0,314.72,2.061,10.0,20.0
AOA,scp58,23.382,23.398,23.172,23.588,0.099,50,312.0,316.5,1.619,10.0,20.0
AOA,scp59,22.575,22.618,22.234,22.786,0.131,50,295.0,301.1,2.493,10.0,20.0
AOA,scp61,8.099,8.056,7.818,8.957,0.243,62,144.0,149.484,2.231,10.0,20.0
AOA,scp62,7.726,7.702,7.571,7.996,0.095,50,155.0,159.22,2.315,10.0,20.0
AOA,scp63,7.423,7.422,7.313,7.584,0.059,50,150.0,155.02,2.599,10.0,20.0
AOA,scp64,8.135,8.133,8.061,8.272,0.03,50,138.0,142.22,1.582,10.0,20.0
AOA,scp65,7.819,7.824,7.719,7.948,0.05,50,180.0,184.64,1.849,10.0,20.0
AOA,scpa1,56.06,56.055,55.406,56.845,0.282,50,268.0,273.14,2.458,10.0,20.0
AOA,scpa2,54.646,54.642,53.876,55.453,0.309,50,268.0,273.84,2.179,10.0,20.0
AOA,scpa3,55.393,55.364,54.122,57.151,0.748,50,249.0,254.3,2.41,10.0,20.0
AOA,scpa4,60.184,56.318,55.514,83.457,8.124,50,249.0,260.14,3.35,10.0,20.0
AOA,scpa5,58.055,58.353,54.087,63.314,2.829,50,249.0,257.4,3.54,10.0,20.0
AOA,scpb1,31.723,31.53,30.94,33.1,0.583,50,72.0,73.02,0.795,10.0,20.0
AOA,scpb2,33.334,33.306,32.662,33.953,0.214,50,78.0,81.02,1.317,10.0,20.0
AOA,scpb3,31.028,30.958,30.208,31.769,0.337,50,82.0,83.12,0.718,10.0,20.0
AOA,scpb4,32.89,32.774,31.946,33.597,0.485,50,84.0,86.0,1.178,10.0,20.0
AOA,scpb5,30.07,30.031,29.548,30.553,0.256,50,74.0,75.58,0.835,10.0,20.0
AOA,scpc1,123.431,123.492,121.042,124.984,0.979,50,243.0,247.82,2.229,10.0,20.0
AOA,scpc2,123.49,123.488,122.03,125.432,0.893,50,233.0,242.24,3.311,10.0,20.0
