metaheuristic,instance,mean_iter_time,median_iter_time,min_iter_time,max_iter_time,std_iter_time,total_iterations,best_fitness,mean_fitness,std_fitness
AOA,scp41,0.832,0.856,0.369,0.966,0.104,1000,440.0,448.883,4.52
AOA,scp410,0.792,0.806,0.394,0.921,0.094,1000,531.0,541.313,4.793
AOA,scp42,0.819,0.837,0.391,0.945,0.1,1000,551.0,563.133,6.308
AOA,scp43,0.812,0.829,0.381,0.951,0.102,1000,539.0,562.318,11.818
AOA,scp44,0.804,0.823,0.389,0.934,0.095,1000,518.0,531.888,5.354
AOA,scp45,0.695,0.713,0.359,0.795,0.073,1000,541.0,557.753,7.015
AOA,scp46,0.695,0.699,0.36,0.895,0.082,1000,584.0,593.418,6.421
AOA,scp47,0.64,0.64,0.366,0.9,0.07,1000,446.0,463.139,6.044
AOA,scp48,0.617,0.63,0.342,0.707,0.06,1000,515.0,524.429,5.111
AOA,scp49,0.771,0.777,0.378,0.968,0.097,1000,700.0,714.37,9.575
AOA,scp51,1.259,1.313,0.372,1.433,0.206,1000,274.0,280.591,2.953
AOA,scp510,1.259,1.314,0.371,1.447,0.207,1000,279.0,285.457,2.484
AOA,scp52,1.244,1.299,0.343,1.424,0.203,1000,330.0,338.891,4.062
AOA,scp53,1.28,1.32,0.384,1.867,0.212,1000,235.0,239.673,2.164
AOA,scp54,1.437,1.479,0.423,1.992,0.249,1000,254.0,258.559,2.571
AOA,scp55,1.348,1.371,0.39,1.951,0.237,1000,222.0,226.804,2.857
AOA,scp56,1.342,1.393,0.401,1.756,0.224,1000,229.0,237.092,3.928
AOA,scp57,1.163,1.217,0.355,1.354,0.189,1000,311.0,315.284,3.163
AOA,scp58,1.168,1.223,0.35,1.253,0.189,1000,312.0,316.825,2.11
AOA,scp59,1.127,1.181,0.364,1.21,0.179,1000,295.0,301.645,3.382
AOA,scp61,0.404,0.419,0.133,0.547,0.065,1256,144.0,150.015,3.017
AOA,scp62,0.385,0.401,0.128,0.424,0.059,1000,155.0,160.03,3.209
AOA,scp63,0.37,0.386,0.127,0.407,0.056,1000,150.0,155.567,2.696
AOA,scp64,0.406,0.424,0.127,0.474,0.064,1000,138.0,142.559,2.125
AOA,scp65,0.39,0.407,0.129,0.428,0.059,1000,180.0,185.456,3.035
AOA,scpa1,2.801,2.959,0.579,3.211,0.537,1000,268.0,273.889,4.019
AOA,scpa2,2.731,2.88,0.548,3.005,0.517,1000,268.0,274.348,3.055
AOA,scpa3,2.768,2.918,0.583,3.092,0.527,1000,249.0,255.263,4.067
AOA,scpa4,3.007,2.971,0.563,4.793,0.72,1000,249.0,261.033,5.062
AOA,scpa5,2.901,3.026,0.554,4.482,0.58,1000,249.0,258.168,4.529
AOA,scpb1,1.585,1.665,0.342,2.195,0.301,1000,72.0,73.36,1.126
AOA,scpb2,1.665,1.757,0.347,1.841,0.318,1000,78.0,81.339,1.738
AOA,scpb3,1.55,1.632,0.339,1.721,0.291,1000,82.0,83.575,1.478
AOA,scpb4,1.643,1.731,0.349,1.814,0.312,1000,84.0,86.356,1.223
AOA,scpb5,1.502,1.581,0.333,1.67,0.281,1000,74.0,75.719,0.95
AOA,scpc1,6.17,6.54,0.958,6.738,1.261,1000,243.0,248.329,3.091
AOA,scpc2,6.172,6.54,0.944,7.495,1.268,1000,233.0,243.122,4.743
AOA,scpc3,5.556,5.853,0.893,7.243,1.118,1000,258.0,264.217,3.244
AOA,scpc4,6.652,6.356,0.908,8.986,1.614,1000,239.0,246.145,3.393
AOA,scpc5,5.712,6.046,0.885,6.664,1.154,1000,225.0,228.205,1.775
AOA,scpd1,3.04,3.205,0.579,3.405,0.596,1000,64.0,67.163,1.95
AOA,scpd2,3.038,3.203,0.569,3.365,0.598,1000,69.0,70.728,1.258
AOA,scpd3,3.116,3.292,0.572,3.672,0.616,1000,75.0,79.884,1.254
AOA,scpd4,3.319,3.511,0.592,3.872,0.663,1000,63.0,66.652,1.412
AOA,scpd5,3.12,3.297,0.566,3.403,0.617,1000,64.0,66.683,1.024
AOA,scpnre1,3.342,3.522,0.646,3.867,0.65,1000,29.0,29.433,0.496
AOA,scpnre2,3.316,3.484,0.663,3.805,0.641,1000,31.0,32.716,1.014
