execution_id,best_fitness,total_time
1557,141.0,8.146
1558,142.0,8.163
1559,143.0,8.133
1560,142.0,8.105
1561,144.0,8.164
1562,142.0,8.125
1563,141.0,8.11
1564,142.0,8.12
1565,141.0,8.129
1566,141.0,8.135
1567,142.0,8.144
1568,143.0,8.159
1569,144.0,8.151
1570,141.0,8.126
1571,144.0,8.137
1572,144.0,8.117
1573,141.0,8.159
1574,141.0,8.148
1575,141.0,8.11
1576,141.0,8.137
1577,141.0,8.128
1578,140.0,8.121
1579,144.0,8.138
1580,146.0,8.133
1581,144.0,8.132
1582,140.0,8.108
1583,144.0,8.061
1584,141.0,8.132
1585,144.0,8.121
1586,141.0,8.152
1587,143.0,8.15
1588,142.0,8.153
1589,144.0,8.13
1590,143.0,8.174
1591,142.0,8.107
1592,144.0,8.144
1593,138.0,8.096
1594,142.0,8.136
1595,142.0,8.141
1596,142.0,8.142
1597,141.0,8.172
1598,140.0,8.075
1599,141.0,8.272
1600,143.0,8.144
1601,145.0,8.12
1602,143.0,8.12
1603,143.0,8.153
1604,141.0,8.13
1605,145.0,8.13
1606,141.0,8.11
30,149.0,0.061
