execution_id,best_fitness,total_time
1757,274.0,56.099
1758,278.0,56.231
1759,274.0,55.533
1760,271.0,56.198
1761,275.0,56.676
1762,273.0,55.778
1763,273.0,55.894
1764,274.0,56.086
1765,274.0,56.218
1766,272.0,56.259
1767,272.0,56.19
1768,275.0,55.49
1769,268.0,55.893
1770,270.0,56.019
1771,276.0,55.923
1772,277.0,56.002
1773,274.0,55.406
1774,274.0,56.382
1775,272.0,56.228
1776,275.0,56.521
1777,270.0,56.039
1778,276.0,56.022
1779,277.0,56.565
1780,276.0,56.123
1781,276.0,56.199
1782,272.0,56.845
1783,277.0,55.84
1784,270.0,55.704
1785,272.0,56.084
1786,270.0,55.86
1787,275.0,56.072
1788,271.0,56.131
1789,271.0,55.981
1790,275.0,56.13
1791,274.0,56.403
1792,276.0,56.283
1793,270.0,56.015
1794,270.0,56.367
1795,273.0,55.757
1796,271.0,56.109
1797,272.0,55.738
1798,270.0,56.053
1799,273.0,55.966
1800,272.0,56.009
1801,275.0,56.145
1802,273.0,56.0
1803,269.0,55.855
1804,271.0,56.004
1805,272.0,55.605
1806,277.0,56.057
32,288.0,0.356
