execution_id,best_fitness,total_time
2657,74.0,29.988
2658,76.0,30.285
2659,77.0,30.138
2660,75.0,30.055
2661,75.0,30.024
2662,74.0,30.003
2663,74.0,30.066
2664,75.0,30.327
2665,76.0,30.224
2666,76.0,30.034
2667,76.0,30.245
2668,75.0,29.866
2669,76.0,29.935
2670,76.0,30.151
2671,75.0,30.028
2672,76.0,30.369
2673,76.0,29.926
2674,75.0,29.982
2675,74.0,29.548
2676,76.0,29.96
2677,75.0,29.853
2678,75.0,29.661
2679,75.0,30.273
2680,76.0,29.792
2681,76.0,29.86
2682,76.0,29.881
2683,74.0,29.58
2684,75.0,30.119
2685,77.0,30.006
2686,75.0,30.004
2687,77.0,30.383
2688,76.0,29.686
2689,76.0,30.416
2690,76.0,30.553
2691,76.0,30.411
2692,76.0,30.498
2693,76.0,29.957
2694,76.0,30.014
2695,76.0,30.428
2696,75.0,30.041
2697,76.0,29.85
2698,77.0,30.296
2699,77.0,30.434
2700,74.0,29.576
2701,75.0,30.413
2702,76.0,30.327
2703,76.0,29.8
2704,75.0,30.049
2705,76.0,30.339
2706,76.0,29.852
41,78.0,0.19
