execution_id,best_fitness,total_time
3157,228.0,112.657
3158,228.0,113.708
3159,228.0,113.189
3160,227.0,113.557
3161,226.0,113.943
3162,230.0,113.298
3163,228.0,112.798
3164,232.0,113.649
3165,229.0,113.834
3166,227.0,113.424
3167,229.0,115.033
3168,227.0,113.134
3169,230.0,113.177
3170,228.0,113.665
3171,228.0,113.596
3172,229.0,112.694
3173,227.0,112.723
3174,228.0,115.509
3175,228.0,114.148
3176,227.0,114.472
3177,225.0,115.369
3178,226.0,115.279
3179,225.0,113.91
3180,229.0,114.921
3181,226.0,115.61
3182,226.0,114.861
3183,229.0,114.808
3184,227.0,115.048
3185,228.0,115.343
3186,229.0,114.109
3187,228.0,114.766
3188,226.0,115.028
3189,228.0,113.969
3190,229.0,114.493
3191,227.0,114.523
3192,229.0,114.527
3193,227.0,114.819
3194,229.0,114.971
3195,229.0,115.723
3196,230.0,115.328
3197,228.0,115.061
3198,228.0,114.45
3199,228.0,113.597
3200,229.0,114.445
3201,226.0,114.885
3202,230.0,114.374
3203,226.0,114.118
3204,228.0,114.189
3205,229.0,114.429
3206,229.0,114.326
46,233.0,0.712
