execution_id,best_fitness,total_time
3257,67.0,60.268
3258,67.0,60.763
3259,66.0,59.415
3260,66.0,60.335
3261,65.0,60.444
3262,68.0,61.06
3263,66.0,60.725
3264,67.0,60.51
3265,65.0,59.47
3266,66.0,60.95
3267,68.0,61.514
3268,67.0,60.852
3269,67.0,61.305
3270,66.0,60.158
3271,64.0,61.925
3272,66.0,59.845
3273,64.0,62.137
3274,67.0,60.214
3275,67.0,61.0
3276,66.0,60.726
3277,66.0,60.408
3278,65.0,61.027
3279,65.0,60.378
3280,66.0,61.29
3281,66.0,61.114
3282,67.0,61.029
3283,67.0,60.468
3284,66.0,61.033
3285,67.0,60.863
3286,68.0,61.601
3287,67.0,61.501
3288,67.0,61.066
3289,66.0,60.174
3290,67.0,61.4
3291,66.0,60.982
3292,67.0,61.636
3293,67.0,61.96
3294,66.0,60.747
3295,66.0,61.946
3296,66.0,60.496
3297,67.0,61.879
3298,67.0,61.081
3299,68.0,60.808
3300,67.0,60.585
3301,64.0,60.774
3302,65.0,61.998
3303,66.0,60.462
3304,66.0,59.535
3305,66.0,60.517
3306,67.0,60.015
47,74.0,0.401
