execution_id,best_fitness,total_time
3757,30.0,67.303
3758,29.0,67.143
3759,30.0,64.931
3760,30.0,66.472
3761,29.0,65.668
3762,30.0,65.784
3763,29.0,65.889
3764,29.0,66.494
3765,29.0,66.249
3766,29.0,66.999
3767,29.0,66.336
3768,30.0,66.225
3769,30.0,65.714
3770,30.0,66.185
3771,29.0,65.941
3772,29.0,66.569
3773,29.0,66.266
3774,30.0,66.745
3775,29.0,66.883
3776,29.0,67.135
3777,30.0,66.906
3778,30.0,68.16
3779,29.0,68.89
3780,29.0,65.452
3781,29.0,66.666
3782,30.0,67.841
3783,30.0,67.554
3784,29.0,67.789
3785,29.0,66.522
3786,29.0,67.594
3787,30.0,67.776
3788,30.0,67.764
3789,29.0,67.747
3790,30.0,67.061
3791,29.0,66.964
3792,29.0,67.581
3793,29.0,67.557
3794,29.0,67.579
3795,30.0,68.081
3796,29.0,68.221
3797,29.0,66.108
3798,29.0,66.012
3799,30.0,66.529
3800,29.0,67.169
3801,29.0,66.939
3802,29.0,66.49
3803,29.0,66.676
3804,30.0,67.424
3805,29.0,66.741
3806,30.0,67.361
52,30.0,0.409
