execution_id,best_fitness,total_time
4357,16.0,37.524
4358,16.0,37.745
4359,15.0,37.63
4360,16.0,37.953
4361,16.0,37.788
4362,16.0,37.773
4363,16.0,37.774
4364,16.0,37.602
4365,16.0,37.857
4366,16.0,37.671
4367,15.0,37.61
4368,15.0,37.804
4369,16.0,37.754
4370,16.0,37.801
4371,16.0,37.788
4372,16.0,37.687
4373,16.0,37.759
4374,16.0,37.676
4375,16.0,37.608
4376,16.0,37.743
4377,15.0,37.553
4378,15.0,37.189
4379,16.0,37.872
4380,16.0,37.894
4381,16.0,37.851
4382,16.0,37.783
4383,16.0,37.805
4384,16.0,37.907
4385,16.0,37.672
4386,16.0,37.699
4387,16.0,37.623
4388,16.0,37.851
4389,16.0,37.825
4390,16.0,37.82
4391,16.0,37.667
4392,16.0,37.919
4393,16.0,37.782
4394,16.0,37.645
4395,16.0,37.849
4396,16.0,37.78
4397,16.0,37.798
4398,16.0,37.762
4399,16.0,37.79
4400,16.0,37.889
4401,15.0,36.359
4402,16.0,37.788
4403,16.0,37.888
4404,16.0,37.756
4405,16.0,37.811
4406,16.0,37.828
58,16.0,0.216
