execution_id,best_fitness,total_time
4757,191.0,1043.578
4758,194.0,1046.823
4759,194.0,1037.118
4760,196.0,1040.288
4761,194.0,1027.604
4762,195.0,1036.542
4763,194.0,1050.308
4764,196.0,1045.476
4765,197.0,1062.556
4766,195.0,1038.741
4767,195.0,1036.715
4768,195.0,1038.366
4769,195.0,1042.067
4770,194.0,1033.862
4771,193.0,1037.954
4772,195.0,1039.662
4773,195.0,1034.524
4774,195.0,1051.059
4775,196.0,1040.194
4776,193.0,1037.291
4777,196.0,1043.357
4778,190.0,1037.166
4779,193.0,1044.879
4780,195.0,1028.13
4781,194.0,1032.288
4782,195.0,1036.762
4783,194.0,1030.108
4784,194.0,1033.474
4785,192.0,1038.28
4786,193.0,1039.868
4787,193.0,1033.617
4788,195.0,1034.466
4789,195.0,1034.797
4790,193.0,1045.109
4791,197.0,1038.308
4792,197.0,1039.801
4793,195.0,1039.794
4794,194.0,1038.128
4795,194.0,1039.807
4796,198.0,1041.504
4797,194.0,1046.62
4798,196.0,1029.953
4799,195.0,1019.935
4800,196.0,1025.01
4801,196.0,1022.247
4802,194.0,1016.415
4803,195.0,1017.256
4804,195.0,1031.808
4805,195.0,1177.407
4806,195.0,1163.772
62,203.0,5.701
