execution_id,best_fitness,total_time
5457,64.0,583.821
5458,63.0,485.861
5459,64.0,479.132
5460,64.0,473.552
5461,64.0,477.725
5462,65.0,476.032
5463,62.0,480.602
5464,63.0,477.862
5465,63.0,478.574
5466,64.0,478.428
5467,64.0,475.889
5468,64.0,474.973
5469,64.0,477.434
5470,64.0,477.947
5471,64.0,476.947
5472,65.0,477.065
5473,63.0,479.595
5474,63.0,473.089
5475,64.0,478.945
5476,64.0,478.568
5477,63.0,477.455
5478,63.0,480.392
5479,63.0,479.846
5480,63.0,477.453
5481,64.0,476.444
5482,64.0,480.118
5483,65.0,474.957
5484,64.0,480.282
5485,64.0,475.122
5486,64.0,477.588
5487,62.0,478.755
5488,64.0,474.737
5489,63.0,476.875
5490,64.0,475.886
5491,63.0,478.276
5492,63.0,477.619
5493,62.0,480.172
5494,64.0,505.393
5495,63.0,507.428
5496,65.0,514.827
5497,64.0,515.776
5498,64.0,516.085
5499,63.0,512.786
5500,63.0,519.615
5501,63.0,516.453
5502,63.0,517.095
5503,64.0,489.097
5504,63.0,478.526
5505,64.0,494.933
5506,64.0,476.706
69,65.0,2.702
