execution_id,best_fitness,total_time
4611,245.0,36.877
4612,246.0,35.733
4613,244.0,36.678
4614,241.0,36.828
4615,244.0,37.18
4616,246.0,37.165
4617,245.0,36.738
4618,243.0,36.091
4619,244.0,34.559
4620,245.0,37.818
4621,243.0,37.355
4622,245.0,39.291
4623,242.0,36.009
4624,245.0,36.798
4625,241.0,40.869
4626,241.0,40.791
4627,241.0,37.1
4628,243.0,41.3
4629,243.0,40.057
4630,245.0,36.606
4631,241.0,35.907
4632,242.0,36.017
4633,244.0,37.697
4634,245.0,41.34
4635,240.0,41.689
4636,243.0,43.472
4637,246.0,39.244
4638,243.0,37.709
4639,240.0,36.511
4640,245.0,36.637
4641,241.0,38.38
4642,239.0,43.979
4643,244.0,43.536
4644,244.0,42.557
4645,241.0,39.85
4646,243.0,40.816
4647,241.0,40.126
4648,244.0,39.633
4649,241.0,40.184
4650,242.0,38.781
4651,243.0,37.102
4652,243.0,37.662
4653,241.0,37.772
4654,245.0,37.163
4655,243.0,36.45
4656,246.0,38.522
4657,246.0,38.067
4658,244.0,36.858
4659,244.0,37.625
4660,243.0,39.081
