execution_id,best_fitness,total_time
1907,276.0,76.62
1908,273.0,74.112
1909,276.0,77.381
1910,271.0,74.977
1911,274.0,75.591
1912,276.0,76.225
1913,275.0,75.542
1914,270.0,74.61
1915,275.0,78.155
1916,270.0,74.66
1917,276.0,75.845
1918,277.0,74.963
1919,276.0,76.542
1920,275.0,76.775
1921,273.0,76.538
1922,271.0,74.401
1923,274.0,76.264
1924,274.0,75.03
1925,275.0,76.396
1926,270.0,74.592
1927,276.0,76.258
1928,273.0,74.531
1929,274.0,75.696
1930,276.0,77.354
1931,273.0,77.221
1932,273.0,73.729
1933,270.0,75.864
1934,276.0,77.278
1935,276.0,76.711
1936,273.0,75.887
1937,273.0,74.99
1938,274.0,75.163
1939,276.0,78.074
1940,271.0,75.819
1941,274.0,74.163
1942,276.0,77.63
1943,276.0,76.675
1944,275.0,77.545
1945,275.0,75.467
1946,275.0,76.89
1947,274.0,72.89
1948,277.0,77.485
1949,276.0,77.21
1950,273.0,76.414
1951,273.0,75.133
1952,276.0,75.645
1953,271.0,77.632
1954,276.0,77.428
1955,277.0,75.465
1956,274.0,73.759
