execution_id,best_fitness,total_time
2507,83.0,40.128
2508,82.0,40.007
2509,83.0,40.799
2510,83.0,40.646
2511,82.0,40.31
2512,83.0,39.767
2513,84.0,41.496
2514,84.0,40.153
2515,82.0,40.332
2516,82.0,40.312
2517,83.0,40.819
2518,83.0,40.52
2519,82.0,40.724
2520,83.0,39.868
2521,83.0,39.988
2522,83.0,39.995
2523,83.0,39.893
2524,83.0,40.664
2525,83.0,41.443
2526,83.0,41.212
2527,84.0,40.558
2528,83.0,41.769
2529,83.0,40.718
2530,82.0,40.089
2531,83.0,40.2
2532,84.0,40.922
2533,84.0,40.929
2534,83.0,39.906
2535,82.0,41.606
2536,83.0,39.549
2537,83.0,40.362
2538,83.0,39.499
2539,84.0,40.876
2540,83.0,40.343
2541,84.0,40.065
2542,82.0,40.162
2543,83.0,40.767
2544,83.0,39.983
2545,83.0,40.397
2546,83.0,39.408
2547,83.0,40.445
2548,84.0,39.658
2549,82.0,40.303
2550,82.0,41.94
2551,83.0,40.992
2552,83.0,40.866
2553,82.0,41.425
2554,83.0,41.48
2555,84.0,40.541
2556,83.0,40.54
