execution_id,best_fitness,total_time
2807,251.0,168.531
2808,252.0,165.84
2809,254.0,169.748
2810,252.0,168.637
2811,254.0,165.941
2812,255.0,169.177
2813,251.0,167.287
2814,252.0,169.556
2815,251.0,165.298
2816,251.0,165.093
2817,253.0,165.484
2818,252.0,165.303
2819,253.0,166.619
2820,253.0,170.754
2821,248.0,163.578
2822,252.0,164.756
2823,249.0,167.426
2824,252.0,166.657
2825,250.0,164.871
2826,249.0,165.296
2827,245.0,168.124
2828,252.0,163.599
2829,255.0,169.892
2830,251.0,166.152
2831,253.0,167.47
2832,252.0,164.383
2833,254.0,168.518
2834,252.0,165.489
2835,253.0,164.857
2836,255.0,168.331
2837,253.0,167.618
2838,252.0,166.223
2839,254.0,169.026
2840,254.0,165.04
2841,252.0,165.782
2842,249.0,164.679
2843,252.0,165.836
2844,247.0,163.995
2845,252.0,165.164
2846,253.0,167.07
2847,253.0,163.553
2848,252.0,168.803
2849,253.0,168.526
2850,253.0,162.769
2851,249.0,163.472
2852,252.0,168.852
2853,252.0,171.171
2854,252.0,161.576
2855,252.0,166.546
2856,252.0,167.047
