execution_id,best_fitness,total_time
3507,80.0,77.029
3508,78.0,77.201
3509,78.0,76.398
3510,79.0,76.915
3511,79.0,76.411
3512,79.0,77.616
3513,78.0,77.586
3514,79.0,78.779
3515,77.0,79.265
3516,78.0,77.698
3517,79.0,76.019
3518,79.0,77.137
3519,80.0,78.318
3520,79.0,77.385
3521,80.0,78.391
3522,76.0,78.25
3523,80.0,77.687
3524,80.0,77.468
3525,78.0,76.482
3526,78.0,76.691
3527,79.0,76.642
3528,79.0,77.377
3529,78.0,77.778
3530,78.0,77.847
3531,78.0,78.947
3532,79.0,79.086
3533,78.0,77.481
3534,78.0,77.527
3535,77.0,78.006
3536,80.0,77.006
3537,76.0,77.449
3538,79.0,77.744
3539,78.0,77.295
3540,78.0,78.201
3541,76.0,78.066
3542,78.0,80.354
3543,79.0,77.117
3544,78.0,77.479
3545,79.0,74.637
3546,79.0,77.166
3547,78.0,78.047
3548,79.0,78.062
3549,77.0,76.537
3550,76.0,78.894
3551,78.0,78.338
3552,77.0,78.306
3553,80.0,76.962
3554,78.0,77.436
3555,79.0,76.505
3556,76.0,77.506
