execution_id,best_fitness,total_time
4207,28.0,89.974
4208,29.0,89.724
4209,29.0,90.96
4210,28.0,90.224
4211,28.0,88.903
4212,29.0,89.945
4213,28.0,90.488
4214,29.0,96.565
4215,28.0,92.308
4216,28.0,93.459
4217,29.0,98.376
4218,29.0,92.232
4219,28.0,93.341
4220,28.0,96.586
4221,29.0,96.7
4222,28.0,91.653
4223,29.0,102.018
4224,28.0,94.629
4225,28.0,92.679
4226,29.0,81.556
4227,28.0,90.636
4228,29.0,93.821
4229,28.0,94.97
4230,28.0,96.642
4231,29.0,90.804
4232,28.0,98.041
4233,28.0,97.126
4234,28.0,94.877
4235,28.0,93.378
4236,29.0,94.645
4237,29.0,90.39
4238,28.0,94.53
4239,29.0,94.374
4240,29.0,98.008
4241,28.0,89.205
4242,28.0,87.289
4243,28.0,97.167
4244,28.0,93.752
4245,28.0,88.087
4246,29.0,88.167
4247,28.0,86.032
4248,29.0,87.566
4249,28.0,88.595
4250,28.0,88.911
4251,29.0,86.737
4252,28.0,91.841
4253,29.0,92.398
4254,28.0,94.217
4255,28.0,98.002
4256,29.0,97.039
