execution_id,best_fitness,total_time
4507,15.0,39.564
4508,15.0,39.67
4509,15.0,39.704
4510,15.0,40.596
4511,15.0,39.055
4512,15.0,39.399
4513,15.0,38.816
4514,15.0,40.905
4515,15.0,40.66
4516,14.0,38.455
4517,15.0,41.674
4518,15.0,40.572
4519,15.0,40.009
4520,15.0,40.384
4521,15.0,40.407
4522,15.0,39.378
4523,15.0,38.796
4524,15.0,38.961
4525,15.0,39.863
4526,15.0,41.077
4527,15.0,39.206
4528,15.0,39.764
4529,15.0,40.39
4530,15.0,37.459
4531,15.0,39.512
4532,15.0,38.672
4533,15.0,39.231
4534,15.0,37.816
4535,15.0,40.557
4536,15.0,42.683
4537,15.0,41.776
4538,15.0,39.846
4539,15.0,39.652
4540,15.0,37.924
4541,15.0,41.087
4542,14.0,38.718
4543,15.0,40.209
4544,15.0,39.256
4545,14.0,38.731
4546,15.0,41.568
4547,15.0,39.49
4548,15.0,39.126
4549,15.0,40.139
4550,15.0,38.898
4551,15.0,39.705
4552,14.0,40.406
4553,15.0,40.246
4554,15.0,39.207
4555,15.0,39.317
4556,15.0,40.158
