execution_id,best_fitness,total_time
5007,185.0,1443.992
5008,183.0,1454.671
5009,185.0,1353.47
5010,183.0,1364.582
5011,184.0,1377.596
5012,183.0,1378.232
5013,183.0,1385.504
5014,184.0,1395.643
5015,183.0,1459.676
5016,184.0,1477.339
5018,185.0,1373.16
5019,183.0,1388.418
5020,185.0,1365.768
5021,183.0,1330.55
5022,185.0,1353.694
5023,184.0,1367.288
5024,184.0,1363.391
5025,184.0,1384.818
5026,185.0,1388.289
5027,185.0,1397.764
5028,184.0,1380.695
5029,185.0,1368.966
5030,184.0,1388.943
5031,185.0,1404.121
5032,186.0,1390.446
5033,185.0,1415.615
5034,183.0,1389.093
5035,186.0,1414.057
5036,184.0,1372.247
5037,185.0,1367.913
5038,184.0,1420.643
5039,184.0,1406.256
5040,185.0,1391.04
5041,186.0,1393.513
5042,184.0,1401.151
5043,185.0,1408.014
5044,186.0,1414.754
5045,186.0,1422.488
5046,185.0,1386.918
5047,186.0,1406.083
5048,187.0,1403.232
5049,185.0,1426.033
5050,186.0,1434.52
5051,186.0,1419.367
5052,186.0,1419.406
5053,183.0,1391.777
5054,184.0,1389.09
5055,184.0,1413.32
5056,186.0,1439.297
