execution_id,best_fitness,total_time
5607,64.0,543.635
5608,64.0,536.664
5609,63.0,546.95
5610,64.0,534.277
5611,64.0,545.357
5612,64.0,539.046
5613,63.0,543.599
5614,64.0,538.549
5615,65.0,539.444
5616,63.0,523.581
5617,64.0,531.92
5618,64.0,537.395
5619,63.0,527.097
5620,64.0,537.645
5621,64.0,547.264
5622,65.0,538.161
5623,65.0,532.451
5624,65.0,531.783
5625,62.0,533.033
5626,65.0,543.165
5627,65.0,538.524
5628,64.0,535.482
5629,63.0,535.006
5630,63.0,546.627
5631,64.0,544.942
5632,64.0,545.985
5633,65.0,541.233
5634,65.0,541.446
5635,65.0,523.958
5636,64.0,558.699
5637,64.0,538.724
5638,64.0,536.137
5639,64.0,546.001
5640,64.0,556.534
5641,62.0,545.327
5642,65.0,547.334
5643,63.0,531.938
5644,62.0,549.228
5645,64.0,541.719
5646,64.0,539.138
5647,64.0,580.987
5648,64.0,579.372
5649,63.0,586.367
5650,64.0,564.434
5651,64.0,599.92
5652,63.0,563.231
5653,64.0,570.239
5654,64.0,569.97
5655,65.0,561.15
5656,66.0,564.465
