iter,fitness,time,XPL,XPT,DIV
0,22721.0,0.007,100.0,0.0,0.45
1,159.0,0.153,22.89,77.11,0.103
2,154.0,0.32,1.56,98.44,0.007
3,154.0,0.424,0.0,100.0,0.0
4,154.0,0.446,0.0,100.0,0.0
5,154.0,0.441,0.0,100.0,0.0
6,154.0,0.444,0.0,100.0,0.0
7,154.0,0.434,0.0,100.0,0.0
8,154.0,0.439,0.0,100.0,0.0
9,154.0,0.448,0.0,100.0,0.0
10,154.0,0.431,0.0,100.0,0.0
11,154.0,0.451,0.0,100.0,0.0
12,154.0,0.431,0.0,100.0,0.0
13,154.0,0.462,0.0,100.0,0.0
14,154.0,0.448,0.0,100.0,0.0
15,154.0,0.446,0.0,100.0,0.0
16,154.0,0.436,0.0,100.0,0.0
