iter,fitness,time,XPL,XPT,DIV
0,248433.0,0.089,100.0,0.0,0.45
1,64201.0,0.947,57.33,42.67,0.258
2,34760.0,0.889,26.89,73.11,0.121
3,18349.0,1.293,13.11,86.89,0.059
4,7882.0,8.355,7.11,92.89,0.032
5,3985.0,38.359,4.0,96.0,0.018
6,1266.0,59.102,2.89,97.11,0.013
7,651.0,80.777,1.78,98.22,0.008
8,368.0,93.659,1.11,98.89,0.005
9,274.0,94.852,0.89,99.11,0.004
10,194.0,95.377,0.89,99.11,0.004
11,190.0,96.637,0.89,99.11,0.004
12,188.0,101.523,0.67,99.33,0.003
13,186.0,101.23,0.67,99.33,0.003
14,186.0,103.479,0.89,99.11,0.004
15,186.0,92.885,0.67,99.33,0.003
16,186.0,95.164,0.67,99.33,0.003
17,186.0,99.845,0.89,99.11,0.004
