timestamp,metaheuristic,instance,total_time,final_fitness,population,max_iterations
1729358565294,AOA,scp41,15.772,445.0,10,20
1729358581840,AOA,scp41,16.51,450.0,10,20
1729358598949,AOA,scp41,17.071,448.0,10,20
1729358615721,AOA,scp41,16.726,440.0,10,20
1729358632656,AOA,scp41,16.898,454.0,10,20
1729358649329,AOA,scp41,16.631,449.0,10,20
1729358666203,AOA,scp41,16.829,445.0,10,20
1729358682910,AOA,scp41,16.667,448.0,10,20
1729358699508,AOA,scp41,16.553,450.0,10,20
1729358716193,AOA,scp41,16.634,452.0,10,20
1729358732926,AOA,scp41,16.694,450.0,10,20
1729358749728,AOA,scp41,16.766,447.0,10,20
1729358766357,AOA,scp41,16.591,449.0,10,20
1729358782973,AOA,scp41,16.58,443.0,10,20
1729358799744,AOA,scp41,16.728,452.0,10,20
1729358816576,AOA,scp41,16.796,449.0,10,20
1729358833425,AOA,scp41,16.812,446.0,10,20
1729358850473,AOA,scp41,17.005,448.0,10,20
1729358867473,AOA,scp41,16.959,451.0,10,20
1729358884160,AOA,scp41,16.637,450.0,10,20
1729358901113,AOA,scp41,16.913,453.0,10,20
1729358917701,AOA,scp41,16.543,446.0,10,20
1729358934387,AOA,scp41,16.639,447.0,10,20
1729358951062,AOA,scp41,16.637,444.0,10,20
1729358967902,AOA,scp41,16.802,449.0,10,20
1729358984513,AOA,scp41,16.573,456.0,10,20
1729359001274,AOA,scp41,16.718,447.0,10,20
1729359017667,AOA,scp41,16.355,449.0,10,20
1729359034327,AOA,scp41,16.62,450.0,10,20
1729359050197,AOA,scp41,15.825,450.0,10,20
1729359066662,AOA,scp41,16.428,446.0,10,20
1729359083354,AOA,scp41,16.654,451.0,10,20
1729359100296,AOA,scp41,16.896,451.0,10,20
1729359117073,AOA,scp41,16.74,444.0,10,20
1729359133925,AOA,scp41,16.814,447.0,10,20
1729359150734,AOA,scp41,16.765,450.0,10,20
1729359167415,AOA,scp41,16.644,449.0,10,20
1729359184316,AOA,scp41,16.858,450.0,10,20
1729359201160,AOA,scp41,16.798,446.0,10,20
1729359217974,AOA,scp41,16.777,451.0,10,20
1729359234706,AOA,scp41,16.683,445.0,10,20
1729359251461,AOA,scp41,16.716,444.0,10,20
1729359268154,AOA,scp41,16.651,452.0,10,20
1729359284971,AOA,scp41,16.777,448.0,10,20
1729359301451,AOA,scp41,16.445,444.0,10,20
1729359318270,AOA,scp41,16.784,447.0,10,20
1729359334983,AOA,scp41,16.674,452.0,10,20
1729359351572,AOA,scp41,16.547,445.0,10,20
1729359368459,AOA,scp41,16.85,441.0,10,20
1729359385042,AOA,scp41,16.53,447.0,10,20
1729359409459,GWO,scp41,24.376,458.0,10,20
1729359433882,GWO,scp41,24.379,459.0,10,20
1729359457576,GWO,scp41,23.657,457.0,10,20
1729359481471,GWO,scp41,23.858,458.0,10,20
1729359505257,GWO,scp41,23.751,461.0,10,20
1729359529156,GWO,scp41,23.861,457.0,10,20
1729359553477,GWO,scp41,24.283,457.0,10,20
1729359577632,GWO,scp41,24.119,458.0,10,20
1729359601821,GWO,scp41,24.149,458.0,10,20
1729359625838,GWO,scp41,23.981,452.0,10,20
1729359650158,GWO,scp41,24.283,459.0,10,20
1729359674239,GWO,scp41,24.042,457.0,10,20
1729359698489,GWO,scp41,24.213,460.0,10,20
1729359722749,GWO,scp41,24.221,460.0,10,20
1729359747120,GWO,scp41,24.333,461.0,10,20
1729359771352,GWO,scp41,24.194,459.0,10,20
1729359795383,GWO,scp41,23.994,456.0,10,20
1729359819222,GWO,scp41,23.799,460.0,10,20
1729359843430,GWO,scp41,24.172,460.0,10,20
1729359867566,GWO,scp41,24.098,457.0,10,20
1729359891875,GWO,scp41,24.264,460.0,10,20
1729359915855,GWO,scp41,23.944,457.0,10,20
1729359940366,GWO,scp41,24.474,460.0,10,20
1729359964256,GWO,scp41,23.844,460.0,10,20
1729359988338,GWO,scp41,24.046,460.0,10,20
1729360012097,GWO,scp41,23.72,452.0,10,20
1729360036382,GWO,scp41,24.246,457.0,10,20
1729360060379,GWO,scp41,23.958,461.0,10,20
1729360084541,GWO,scp41,24.115,452.0,10,20
1729360108334,GWO,scp41,23.753,458.0,10,20
1729360132536,GWO,scp41,24.164,458.0,10,20
1729360156450,GWO,scp41,23.869,457.0,10,20
1729360180620,GWO,scp41,24.13,457.0,10,20
1729360205044,GWO,scp41,24.387,457.0,10,20
1729360229319,GWO,scp41,24.238,457.0,10,20
1729360253361,GWO,scp41,24.006,455.0,10,20
1729360277487,GWO,scp41,24.081,460.0,10,20
1729360301553,GWO,scp41,24.018,457.0,10,20
1729360325423,GWO,scp41,23.835,458.0,10,20
1729360349679,GWO,scp41,24.219,457.0,10,20
1729360373729,GWO,scp41,24.012,460.0,10,20
1729360398077,GWO,scp41,24.304,459.0,10,20
1729360422212,GWO,scp41,24.097,458.0,10,20
1729360446137,GWO,scp41,23.884,454.0,10,20
1729360470010,GWO,scp41,23.837,457.0,10,20
1729360494446,GWO,scp41,24.399,460.0,10,20
1729360518687,GWO,scp41,24.203,446.0,10,20
1729360542701,GWO,scp41,23.973,454.0,10,20
1729360566955,GWO,scp41,24.214,458.0,10,20
1729360591347,GWO,scp41,24.358,460.0,10,20
1729360607239,AOA,scp410,15.836,533.0,10,20
1729360623269,AOA,scp410,15.983,540.0,10,20
1729360638884,AOA,scp410,15.577,535.0,10,20
1729360654832,AOA,scp410,15.91,532.0,10,20
1729360670429,AOA,scp410,15.562,541.0,10,20
1729360686139,AOA,scp410,15.668,539.0,10,20
1729360701831,AOA,scp410,15.655,543.0,10,20
1729360717637,AOA,scp410,15.767,540.0,10,20
1729360733632,AOA,scp410,15.96,544.0,10,20
1729360749477,AOA,scp410,15.808,546.0,10,20
1729360765522,AOA,scp410,15.999,543.0,10,20
1729360781324,AOA,scp410,15.761,541.0,10,20
1729360797363,AOA,scp410,16.0,541.0,10,20
1729360813203,AOA,scp410,15.804,545.0,10,20
1729360829150,AOA,scp410,15.902,544.0,10,20
1729360845174,AOA,scp410,15.984,547.0,10,20
1729360860831,AOA,scp410,15.619,541.0,10,20
1729360876850,AOA,scp410,15.981,538.0,10,20
1729360892774,AOA,scp410,15.883,541.0,10,20
1729360908700,AOA,scp410,15.879,545.0,10,20
1729360924594,AOA,scp410,15.857,538.0,10,20
1729360940373,AOA,scp410,15.731,538.0,10,20
1729360956293,AOA,scp410,15.876,533.0,10,20
1729360972426,AOA,scp410,16.09,541.0,10,20
1729360988565,AOA,scp410,16.098,544.0,10,20
1729361004392,AOA,scp410,15.789,537.0,10,20
1729361020508,AOA,scp410,16.071,542.0,10,20
1729361036314,AOA,scp410,15.768,540.0,10,20
1729361052210,AOA,scp410,15.859,541.0,10,20
1729361068060,AOA,scp410,15.812,544.0,10,20
1729361084119,AOA,scp410,16.021,540.0,10,20
1729361100034,AOA,scp410,15.873,538.0,10,20
1729361115904,AOA,scp410,15.834,541.0,10,20
1729361131923,AOA,scp410,15.982,540.0,10,20
1729361147865,AOA,scp410,15.907,544.0,10,20
1729361163683,AOA,scp410,15.781,545.0,10,20
1729361179489,AOA,scp410,15.77,542.0,10,20
1729361195355,AOA,scp410,15.828,543.0,10,20
1729361211161,AOA,scp410,15.771,541.0,10,20
1729361226968,AOA,scp410,15.77,542.0,10,20
1729361242909,AOA,scp410,15.902,540.0,10,20
1729361258913,AOA,scp410,15.956,539.0,10,20
1729361274795,AOA,scp410,15.844,541.0,10,20
1729361290946,AOA,scp410,16.112,542.0,10,20
1729361306927,AOA,scp410,15.941,531.0,10,20
1729361322420,AOA,scp410,15.454,543.0,10,20
1729361338126,AOA,scp410,15.671,538.0,10,20
1729361354080,AOA,scp410,15.912,536.0,10,20
1729361370033,AOA,scp410,15.908,542.0,10,20
1729361385991,AOA,scp410,15.914,542.0,10,20
1729361408348,GWO,scp410,22.315,540.0,10,20
1729361431278,GWO,scp410,22.895,545.0,10,20
1729361454391,GWO,scp410,23.075,556.0,10,20
1729361477362,GWO,scp410,22.933,549.0,10,20
1729361500438,GWO,scp410,23.038,549.0,10,20
1729361523566,GWO,scp410,23.091,546.0,10,20
1729361546325,GWO,scp410,22.72,551.0,10,20
1729361569076,GWO,scp410,22.713,552.0,10,20
1729361592086,GWO,scp410,22.971,553.0,10,20
1729361614994,GWO,scp410,22.872,546.0,10,20
1729361637903,GWO,scp410,22.863,543.0,10,20
1729361661106,GWO,scp410,23.165,550.0,10,20
1729361683634,GWO,scp410,22.49,552.0,10,20
1729361704442,GWO,scp410,20.773,553.0,10,20
1729361727838,GWO,scp410,23.354,551.0,10,20
1729361750779,GWO,scp410,22.902,548.0,10,20
1729361773894,GWO,scp410,23.078,550.0,10,20
1729361796962,GWO,scp410,23.03,551.0,10,20
1729361819541,GWO,scp410,22.541,552.0,10,20
1729361842956,GWO,scp410,23.377,553.0,10,20
1729361865154,GWO,scp410,22.159,540.0,10,20
1729361888217,GWO,scp410,23.024,551.0,10,20
